bucket,n,default_reward_mean,default_reward_se,default_reward_n,twenty_step_reward_mean,twenty_step_reward_se,twenty_step_reward_n,poison_reward_mean,poison_reward_se,poison_reward_n,final_entropy_mean,final_entropy_se,final_entropy_n
baseline_H,38,1.1874285714285713,0.057564494859482354,35,2.068,0.10482542510240137,35,-0.6388571428571429,0.04610505254685368,35,0.4742154108826071,0.023248433538462437,24
clipcov,12,1.03,0.12154310870109943,12,1.6966666666666665,0.22259942733642657,12,-0.51,0.04808452154406044,12,0.5134375862156352,0.038035246557229944,6
klcov,3,1.0933333333333335,0.09261629326299872,3,1.8866666666666667,0.13531855420122957,3,-0.38666666666666666,0.09820613241770822,3,,0.0,0
topP,14,0.85,0.18185551564752872,8,1.2349999999999999,0.28131705549839264,8,-0.5125,0.11115867037707855,8,1.1850235126912594,0.21203694305565524,8
cosine,6,0.8533333333333334,0.2934242283414541,6,1.3866666666666667,0.43847209463975895,6,-0.6766666666666667,0.07383164031166524,6,2.2910982444882393,1.8193200828708798,6
decay,5,1.244,0.13105723940324698,5,2.048,0.27688264662127166,5,-0.4720000000000001,0.09687104830649867,5,0.5947148416191339,0.042189057597618096,5
adaptive,6,1.3800000000000001,0.07229568912920513,6,2.48,0.12982038874280627,6,-0.49999999999999994,0.1532753513560916,6,0.6747908483569821,0.08077615827880788,6
